step	accuracy
0	0.5543749928474426
1	0.6200000047683716
2	0.6286249756813049
3	0.6502500176429749
4	0.6556249856948853
5	0.6832500100135803
6	0.6912500262260437
7	0.6866250038146973
8	0.7051249742507935
9	0.7151250243186951
