step	loss
0	0.6986879110336304
1	0.6527769565582275
2	0.639989972114563
3	0.6232774257659912
4	0.6185240745544434
5	0.5964212417602539
6	0.592155933380127
7	0.5834435820579529
8	0.5678560137748718
9	0.5623111128807068
